Designator,Number,URL
VMMC,353675,https://notams.aim.faa.gov/notamSearch/airport?locID=353675
CYPK,23472,https://notams.aim.faa.gov/notamSearch/airport?locID=23472
CYXX,329268,https://notams.aim.faa.gov/notamSearch/airport?locID=329268
YBBN ,353855,https://notams.aim.faa.gov/notamSearch/airport?locID=353855
CZBB,24146,https://notams.aim.faa.gov/notamSearch/airport?locID=24146
CYVR,23520,https://notams.aim.faa.gov/notamSearch/airport?locID=23520
CYYC,357796,https://notams.aim.faa.gov/notamSearch/airport?locID=357796
CYYZ,23512,https://notams.aim.faa.gov/notamSearch/airport?locID=23512
EDDF,351465,https://notams.aim.faa.gov/notamSearch/airport?locID=351465
EDDM,351461,https://notams.aim.faa.gov/notamSearch/airport?locID=351461
EGCC,351550,https://notams.aim.faa.gov/notamSearch/airport?locID=351550
EGLL,351545,https://notams.aim.faa.gov/notamSearch/airport?locID=351545
EHAM,351623,https://notams.aim.faa.gov/notamSearch/airport?locID=351623
FAOR,355164,https://notams.aim.faa.gov/notamSearch/airport?locID=355164
KATL,10599,https://notams.aim.faa.gov/notamSearch/airport?locID=10599
KBOS,31,https://notams.aim.faa.gov/notamSearch/airport?locID=31
KDFW,16189,https://notams.aim.faa.gov/notamSearch/airport?locID=16189
KIAH,9122,https://notams.aim.faa.gov/notamSearch/airport?locID=9122
KJFK,6384,https://notams.aim.faa.gov/notamSearch/airport?locID=6384
KLAX,1429,https://notams.aim.faa.gov/notamSearch/airport?locID=1429
KLCK,9471,https://notams.aim.faa.gov/notamSearch/airport?locID=9471
KMIA,7451,https://notams.aim.faa.gov/notamSearch/airport?locID=7451
KORD,4422,https://notams.aim.faa.gov/notamSearch/airport?locID=4422
KPDX,13946,https://notams.aim.faa.gov/notamSearch/airport?locID=13946
KSFO,1904,https://notams.aim.faa.gov/notamSearch/airport?locID=1904
LEBL,352127,https://notams.aim.faa.gov/notamSearch/airport?locID=352127
LEMD,352149,https://notams.aim.faa.gov/notamSearch/airport?locID=352149
LFPG,352162,https://notams.aim.faa.gov/notamSearch/airport?locID=352162
LIMC,352406,https://notams.aim.faa.gov/notamSearch/airport?locID=352406
LIRF,352412,https://notams.aim.faa.gov/notamSearch/airport?locID=352412
LSZH,352584,https://notams.aim.faa.gov/notamSearch/airport?locID=352584
MMGL,352722,https://notams.aim.faa.gov/notamSearch/airport?locID=352722
MMMX,352730,https://notams.aim.faa.gov/notamSearch/airport?locID=352730
NZAA,352791,https://notams.aim.faa.gov/notamSearch/airport?locID=352791
NZCH,352779,https://notams.aim.faa.gov/notamSearch/airport?locID=352779
OERK,352843,https://notams.aim.faa.gov/notamSearch/airport?locID=352843
OMDB,352896,https://notams.aim.faa.gov/notamSearch/airport?locID=352896
PANC,10394,https://notams.aim.faa.gov/notamSearch/airport?locID=10394
RCFN,352962,https://notams.aim.faa.gov/notamSearch/airport?locID=352962
